,arm_name,metric_name,mean,sem,trial_index
113,28_0,weight,0.7127416316719294,0.0,28
114,28_0,ram,0.7197736856744401,0.0,28
115,28_0,latency,0.6960249449951595,0.0,28
116,29_0,accuracy,0.6737637362637363,0.0,29
117,29_0,weight,0.6699806205810798,0.0,29
118,29_0,ram,0.6652375869099717,0.0,29
119,29_0,latency,0.522275871786595,0.0,29
120,30_0,accuracy,0.8132013201320132,0.0,30
121,30_0,weight,0.6759442566203019,0.0,30
122,30_0,ram,0.6686392840019292,0.0,30
123,30_0,latency,0.6639081189859021,0.0,30
124,32_0,accuracy,0.7136842105263158,0.0,32
125,32_0,weight,0.6006068391256564,0.0,32
126,32_0,ram,0.5921391367882451,0.0,32
127,32_0,latency,0.4641452197165457,0.0,32
128,33_0,accuracy,0.7600806451612903,0.0,33
129,33_0,weight,0.7247815953409733,0.0,33
130,33_0,ram,0.7224048149678269,0.0,33
131,33_0,latency,0.6492053809740169,0.0,33
132,34_0,accuracy,0.7598284488920658,0.0,34
133,34_0,weight,0.6950481153715019,0.0,34
134,34_0,ram,0.6701782016229862,0.0,34
135,34_0,latency,0.6654872992955023,0.0,34
136,35_0,accuracy,0.7817357512953368,0.0,35
137,35_0,weight,0.6730193017502453,0.0,35
138,35_0,ram,0.6105108756848262,0.0,35
139,35_0,latency,0.47549300131880673,0.0,35
140,36_0,accuracy,0.7542662116040956,0.0,36
141,36_0,weight,0.7585186854274807,0.0,36
142,36_0,ram,0.7589679039662034,0.0,36
143,36_0,latency,0.7420044047487151,0.0,36
144,37_0,accuracy,0.9181034482758621,0.0,37
145,37_0,weight,0.6956621901484019,0.0,37
146,37_0,ram,0.6980358892617748,0.0,37
147,37_0,latency,0.6584951615424939,0.0,37
148,38_0,accuracy,0.7692867540029112,0.0,38
149,38_0,weight,0.5416456303179853,0.0,38
150,38_0,ram,0.5389851191297379,0.0,38
151,38_0,latency,0.3184834284911305,0.0,38
152,39_0,accuracy,0.7802779616148247,0.0,39
153,39_0,weight,0.686134543228,0.0,39
154,39_0,ram,0.658028418469529,0.0,39
155,39_0,latency,0.6446324586931503,0.0,39
156,40_0,accuracy,0.7841342486651411,0.0,40
157,40_0,weight,0.6108684175351362,0.0,40
158,40_0,ram,0.619031230165912,0.0,40
159,40_0,latency,0.4411311280188526,0.0,40
160,41_0,accuracy,0.7376654632972323,0.0,41
161,41_0,weight,0.6573595786715163,0.0,41
162,41_0,ram,0.646660669732682,0.0,41
163,41_0,latency,0.5496353979678033,0.0,41
164,42_0,accuracy,0.7347480106100795,0.0,42
165,42_0,weight,0.6862094856584217,0.0,42
166,42_0,ram,0.6700002925922175,0.0,42
167,42_0,latency,0.6263992212509714,0.0,42
168,43_0,accuracy,0.752742946708464,0.0,43
169,43_0,weight,0.6784584798205646,0.0,43
170,43_0,ram,0.6190784745394357,0.0,43
171,43_0,latency,0.39547920516202173,0.0,43
172,44_0,accuracy,0.7432795698924731,0.0,44
173,44_0,weight,0.7896715373761972,0.0,44
174,44_0,ram,0.7756776821150468,0.0,44
175,44_0,latency,0.8942556385851227,0.0,44
176,45_0,accuracy,0.8175809649702578,0.0,45
177,45_0,weight,0.6519080872334512,0.0,45
178,45_0,ram,0.6610392592725112,0.0,45
